rank,title,Previous Rank,Revenues ($M),Revenue Change %,Profits ($M),Profit Change %,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,Rank increase
132,Starbucks,131,22387.0,5.0,2884.7,2.4,14366.0,81370.0,277000,-1
133,Qualcomm,119,22291.0,-5.4,2466.0,-56.8,65486.0,82027.0,33800,-14
134,Dollar Tree,136,22246.0,7.4,1714.3,91.3,16333.0,22523.0,116200,2
135,PBF Energy,172,21787.0,36.8,415.5,143.3,8118.0,3752.0,3165,37
136,Icahn Enterprises,168,21744.0,33.0,2430.0,,31801.0,9901.0,89034,32
137,Aflac,126,21667.0,-4.0,4604.0,73.1,137217.0,34038.0,11318,-11
138,AutoNation,129,21535.0,-0.3,434.6,1.0,10272.0,4296.0,26000,-9
139,Penske Automotive Group,142,21389.0,6.2,613.3,78.9,10541.0,3817.0,26000,3
140,Whirlpool,137,21253.0,2.6,350.0,-60.6,20038.0,10824.0,92000,-3
141,Union Pacific,143,21240.0,6.5,10712.0,153.1,57806.0,104261.0,41992,2
142,Southwest Airlines,138,21171.0,3.7,3488.0,55.4,25110.0,33678.0,56110,-4
143,ManpowerGroup,146,21034.0,7.0,545.4,22.9,8884.0,7614.0,29000,3
144,Thermo Fisher Scientific,154,20918.0,14.5,2225.0,10.1,56669.0,82952.0,66100,10
145,Bristol-Myers Squibb,147,20776.0,6.9,1007.0,-77.4,33551.0,103415.0,23700,2
146,Halliburton,173,20620.0,29.8,,,25085.0,41068.0,55000,27
147,Tenet Healthcare,134,20613.0,-2.2,,,23385.0,2452.0,111980,-13
148,Lear,151,20467.0,10.3,1313.4,34.7,11946.0,12453.0,165000,3
149,Cummins,159,20428.0,16.7,999.0,-28.3,18075.0,26757.0,58600,10
150,Micron Technology,226,20322.0,63.9,5089.0,,35336.0,60470.0,34100,76
151,Nucor,169,20252.0,25.0,1318.7,65.6,15841.0,19432.0,25100,18
152,Molina Healthcare,156,19883.0,11.8,,-1084.6,8471.0,4867.0,20000,4
153,Fluor,149,19521.0,2.5,191.4,-32.0,9328.0,8006.0,56706,-4
154,Altria Group,148,19494.0,0.8,10222.0,-28.2,43202.0,118436.0,8300,-6
155,Paccar,164,19456.0,14.2,1675.2,221.1,23440.0,23298.0,25000,9
156,Hartford Financial Services,153,19228.0,5.1,,-449.4,225260.0,18392.0,16400,-3
157,Kohls,150,19095.0,2.2,859.0,54.5,13340.0,11021.0,85000,-7
158,Western Digital,217,19093.0,46.9,397.0,64.0,29860.0,27456.0,67629,59
159,Jabil,152,19063.1,3.9,129.1,-49.2,11096.0,5035.0,170000,-7
160,Community Health Systems,130,18477.0,-13.6,,,17450.0,454.0,86000,-30
161,Visa,187,18358.0,21.7,6699.0,11.8,67977.0,270222.0,15000,26
